Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Education,Education,Thunder Bay District,Savant Lake Public Elementary School,Planning,23-Sep,Construction of new school,New replacement facility to accommodate 95 students,Thunder Bay,Northwest,FIRST ST,POV 2S0,,"$4,750,222 ",,Yes,,,,,,
Communities,Transportation,Thunder Bay District,"Rest area at Hwy 17/614 junction, south of Manitouwadge",Under construction,2022,New rest area facility construction at Hwy 17/614,New facility,Thunder Bay,Northwest,,,Highway 614,0,,Yes,,,,48.704801,-85.858741,
Communities,Transportation,Thunder Bay District,"Rest area on Hwy 17, Argon Park west of Thunder Bay",Under construction,2022,Rest area improvements on Hwy 17 Argon Park,Facility improvements,Thunder Bay,Northwest,,,Highway 17,0,,Yes,,,,48.90255301,-90.02826177,
Roads and bridges,Transportation,Thunder Bay District,Expanding Coughlin Road to 4 lanes,Planning,26-Sep,Expand Coughlin Road to 4 lanes for 6.5 km from west of Black Sturgeon River Bridge to Highway 582,,Thunder Bay,Northwest,,,Hwy 11/17 Thunder Bay to Nipigon Corridor,0,,Yes,Yes,,,,,
Roads and bridges,Transportation,Thunder Bay District,"White River Bridge at Bremner, 18 km west of Hwy 631, west of White River",Under construction,2022,Bridge replacement,,Thunder Bay,Northwest,,,,0,,Yes,,,,48.666961,-85.46552,
Recreation,Infrastructure,Tillsonburg,Tillsonburg Community Centre Rehabilitation Project,Planning,23-Dec,"Replacement of the pool area’s tile floors, deck and line, pool roof, pool mechanicals, and lighting, expanding the pool change room for family and gender neutral accessibility, as well as the installation of a new ramp entry into the pool, and the construction of a new 3,600 sq. ft. outdoor splash pad.",,Oxford,Southwest,Floor 2nd 200 Broadway Street/Rue,N4G5A7,,"$4,999,503 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,42.87169,-80.73595,
Recreation,"Tourism, Culture and Sport",Tillsonburg,Tillsonburg T,Under construction,23-Apr,"Our Municipality, with a $148,500 Community Building Fund – Capital stream grant over 12 months, will address a community need by installing automatic doors with new frames and hardware, and renovating the electrical work to improve accessibility at our Community Centre. ",,Oxford,Southwest,45 Hardy Avenue,N4G 3W9,,"$148,500 ",,Yes,,,,42.871629,-80.735552,
Communities,Transportation,Tillsonburg,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Oxford,Southwest,401 Simcoe St,,,0,,,,,,42.85364,-80.6938,
Communities,Transportation,Tillsonburg,Electric Vehicle Charging Station at Tim Horton's,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Oxford,Southwest,560 Broadway St,,,0,,,,,,42.87726,-80.74447,
Roads and bridges,Transportation,Tillsonburg,Road reconstuction,Planning,2021,Reconstruct Oxford Street and Simcoe Street from Broadway Street to Vienna Road.,,Oxford,Southwest,,,Highway 19,"$1,578,461 ",,Yes,,,,42.860074,-80.721539,
Roads and bridges,Transportation,Tillsonburg,Rehabilitation of Vienna Road ,Under construction,23-Mar,,,Oxford,Southwest,,,19,"$1,729,760 ",,Yes,,,,42.854685,-80.719872,
Roads and bridges,Transportation,Timiskaming District,Hwy 66 from Kirkland Lake easterly to west of Hwy 624,Under construction,2022,"Resurfacing and fully paved shoulder on Hwy 66 from Hwy 672 to Hwy 624, Bridge rehabilitation of Misema River Bridge ","Bridge rehabilitation, Resurfacing, Paved shoulders",Timiskaming,Northeast,,,Highway 66,0,,Yes,,,,48.105769,-79.74298961,
Roads and bridges,Transportation,Timiskaming District,East junction Hwy 560 Elk Lake to east of Hwy 562,Under construction,2022,Resurfacing,,Timiskaming,Northeast,,,,0,,Yes,,,,47.63866614,-79.99653913,
Roads and bridges,Transportation,Timiskaming District,"Montreal River Bridges, west and east of Matachewan",Under construction,2022,"Bridge rehabilitation, Bridge replacement",,Timiskaming,Northeast,,,,0,,Yes,,,,48.00513,-80.74191,
Child care,Education,Timmins,St. Joseph Catholic Elementary School,Under construction,24-Sep,Expansion of existing school,Addition to accommodate 49 child care spaces,Cochrane,Northeast,207 HUOT ST,P0N 1H0,,"$4,276,200 ",,Yes,,,,48.4839,-81.2059,
Recreation,Infrastructure,Timmins,McIntyre Headframe Restoration,Planning,2020,"Restoration will include the selection of bidding contractors, detailed engineering designs and drawings, the replacement of the corroded structural steel and wood frame, and the repair of loose cladding and wall anchor backets on the exterior of the headframe.",,Cochrane,Northeast,220 Algonquin Boulevard/Boulevard East/Est,P4N1B3,,"$1,642,394 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.482387,-81.29641,
Recreation,Infrastructure,Timmins,YMCA of Timmins Renovation: Strengthening Impact in and for our community,Planning,2022,"Renovations to the Timmins Family YMCA include exterior renovations to solve the crumbling façade and lack of insulation, and will also include improvements to the building’s overall accessibility. Insulation and new cladding will be added to the outside of the building. Two exterior cement stairways will also be fixed.",,Cochrane,Northeast,376 Avenue Avenue,P4N4S4,,"$562,500 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.4788,-81.3467,
Recreation,Infrastructure,Timmins,Ski Resort Terrain Development for Increased Accessibility,Planning,2021,"Expansion of the snow making system infrastructure to enhance capacity and efficiency while utilizing new modern technologies, and constructing a downhill mountain bike trail system and operation to create additional off-season sustainability and continue to grow activities.",,Cochrane,Northeast,5050 Kamiskotia Road,P4N7G7,,"$325,500 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000470/canada-and-ontario-invest-over-35-million-in-35-recreational-and-community-infrastructure-projects,48.534406,-81.541088,
Communities,Northern Development,Timmins,Centre Culturel La-Ronde,Under construction,23-Jan,Construction of new building,"Construction of a new building supporting the arts and culture sectors of the community, as well as the economy of Timmins and surrounding area.",Cochrane,Northeast,32 Mountjoy Street North,P4N 4V6,,"$6,500,000 ",,Yes,Yes,Yes,https://www.northernontario.ctvnews.ca/video?clipId=2479270,48.476107,-81.3352867,
Communities,Transportation,Timmins,Electric Vehicle Charging Station at Scotiabank,Planning,To Be Determined,Installation of an electric vehicle charging station,1 Level 3 charging station,Cochrane,Northeast,520-522 Algonquin Blvd E,,,0,,,,,,48.47733,-81.31968,
Transit,Transportation,Timmins,Accessible Paratransit Mobility Buses,Planning,2021,The purchase of one specialized transit vehicle to replace existing vehicles in the City of Timmins paratransit serivce that have reached the end of their useful life. ,"This project will improve the capacity, quality and safety of the specialized transit services in the City of Timmins.",Cochrane,Northeast,,,,"$160,000 ",Yes,Yes,Yes,,,48.458878,-81.328874,
Transit,Transportation,Timmins,Transit Terminal Renovations,Planning,2022,"Add fully accessible washrooms, modernize the building and ensure the amenities are barrier free for all transit users.",Improved accessibility of the transit terminal.,Cochrane,Northeast,,,,"$1,375,000 ",Yes,Yes,Yes,,,48.474841,-81.326832,
Transit,Transportation,Timmins,Bus Washing System,Planning,2021,Construct a bus washing facility.,Reduced energy consumption and  expanded washing capabilities.,Cochrane,Northeast,,,,"$240,000 ",Yes,Yes,Yes,,,48.458878,-81.328874,
Child care,Education,Tiny,École élémentaire catholique Sainte-Croix,Under construction,2021,Renovation of existing school,Renovation to accommodate 39 child care spaces,Simcoe,Central,1-351 RUE LAFONTAINE RD W,L9M 0H1,,"$529,379 ",,Yes,,,,44.75734161,-80.05360254,
Recreation,Infrastructure,Tiny,Toanche Recreation Pavilion,Planning,24-Sep,"The project will replace the skating rink at Toanche Park with a covered skating pavilion with open sides and natural ice, and construct a support building with restrooms, changerooms, storage and a community meeting room. The upgrades will provide local and area residents with better access to the facility.",,Simcoe,Central,130 Balm Beach Road West/Ouest,L0L2J0,,"$792,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/61048/30-bundle-en,44.8161,-79.9503,
Communities,Attorney General,Toronto,New courthouse in Toronto,Under construction,22-Dec,New provincial courthouse,Improved justice services to Torontonians in state-of-the-art facility,Toronto,Central,10 Armoury St,,,"$956,400,000 ",,Yes,,,http://www.infrastructureontario.ca/New-Toronto-Courthouse/,43.653618,-79.3862,
Communities,Attorney General,Toronto,Toronto Region Bail Centre,Under construction,2022,"Renovation of existing courthouse at 2201 Finch Ave. W.  This project is being  delivered  with the Brampton Courthouse Addition Phase 2 as a P3 bundle, and the project budget of $82.3M includes both projects.",Accommodation of the bail program associated with the new Toronto courthouse. ,Toronto,Central,2201 Finch Ave. W.,M9M 2Y9,,"$82,500,000 ",,Yes,,,,43.752606,-79.536505,
Child care,Education,Toronto,Bala Avenue Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,6 BALA AVE,M6M 2E1,,"$1,542,761 ",,Yes,,,,43.6894,-79.49938,
Child care,Education,Toronto,Chalkfarm Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,100 CHALKFARM DR,M3L 1L4,,"$1,542,761 ",,Yes,,,,43.7272629,-79.5145725,
Child care,Education,Toronto,Gracedale Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,186 GRACEDALE BLVD,M9L 2C1,,"$3,466,800 ",,Yes,,Yes,,43.7532767,-79.5622093,
Child care,Education,Toronto,Macklin Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,136 INGLETON BLVD,M1V 2Y4,,"$2,981,075 ",,Yes,,Yes,,43.8220934,-79.2675445,
Child care,Education,Toronto,Miliken Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,130 PORT ROYAL TRAIL,M1V 2T4,,"$2,587,049 ",,Yes,,Yes,,43.81658,-79.28848,
Child care,Education,Toronto,Pelmo Park Public Elementary School,Planning,24-Apr,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,180 GARY DR,M9N 2M1,,"$1,542,761 ",,Yes,,,,43.7123639,-79.5176069,
Child care,Education,Toronto,Holy Family Catholic Elementary School,Planning,23-Jan,Renovation of existing school,Renovation to accommodate 49 child care spaces,Toronto,Central,141 CLOSE AVE,M6K 2V6,,"$794,068 ",,Yes,,,,43.63845,-79.43498,
Child care,Education,Toronto,Nativity of Our Lord Catholic Elementary School,Planning,23-Sep,Expansion of existing school,Addition to accommodate 88 child care spaces,Toronto,Central,35 SAFFRON CRES,M9C 3T8,,"$2,571,267 ",,Yes,,,,43.65348,-79.5758,
Child care,Education,Toronto,St. Albert Catholic Elementary School,Planning,25-Sep,Expansion of existing school,Addition to accommodate 88 child care spaces,Toronto,Central,1125 MIDLAND AVE,M1K 4H2,,"$2,571,267 ",,Yes,,,,43.74377,-79.26131,
Child care,Education,Toronto,St. John Vianney Catholic Elementary School,Planning,23-Sep,Renovation of existing school,Renovation to accommodate 49 child care spaces,Toronto,Central,105 THISTLE DOWN BLVD,M9V 1J5,,"$771,381 ",,Yes,,,,43.73836,-79.55391,
Child care,Education,Toronto,St. Thomas Aquinas Catholic Elementary School,Planning,23-Dec,Expansion of existing school,Addition to accommodate 88 child care spaces,Toronto,Central,636 GLENHOLME AVE,M6E 3G9,,"$2,571,267 ",,Yes,,,,43.69591,-79.44507,
Child care,Education,Toronto,Birch Cliff Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 49 child care spaces,Toronto,Central,1650 KINGSTON RD,M1N 1S2,,"$3,583,904 ",,Yes,,Yes,,43.69198,-79.26556,
Child care,Education,Toronto,Dixon Grove Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,Toronto,Central,315 THE WESTWAY,M9R 1H1,,"$4,518,639 ",,Yes,,Yes,,43.6849,-79.55613,
Child care,Education,Toronto,Elmbank Public Elementary School,Planning,24-Jan,Renovation of existing school,Renovation to accommodate 88 child care spaces,Toronto,Central,10 PITTSBORO DR,M9V 3R4,,"$1,285,635 ",,Yes,,,,43.7359614,-79.5900105,
Child care,Education,Toronto,Kingsview Village Junior Public Elementary School,Under construction,24-Jan,Expansion of existing school,Addition to accommodate 88 child care spaces,Toronto,Central,1 YORK RD,M9R 3C8,,"$5,065,910 ",,Yes,,Yes,,43.6978014,-79.5505757,
