Category,Supporting Ministry,Community,Project,Status,Target Completion Date,Description,Result,Area,Region,Address,Postal Code,Highway / Transit Line,Estimated Total Budget,Municipal Funding,Provincial Funding,Federal Funding,Other Funding,Website,Latitude,Longitude,Geometry
Education,Education,TORONTO,Buttonwood Catholic Elementary School,Planning,26-Jan,Construction of new school,"New facility to accommodate 600 students in a growing community, including the construction of 88 child care spaces",TORONTO,Central,100 ALLANHURST DR,M9A 4K4,,"$15,887,554 ",,Yes,,,,43.68026014,-79.51927676,
Education,Education,TORONTO,David Lewis Public Elementary School,Planning,25-Jan,Expansion of existing school,"New classroom addition of 184 pupil places for a growing school, including 40 child care spaces",TORONTO,Central,130 FUNDY BAY BLVD,M1W 3G1,,"$5,739,940 ",,Yes,,,,43.8096061,-79.317908,
Education,Education,TORONTO,Buttonwood Catholic Secondary School,Planning,24-Sep,Construction of new school,New facility to accommodate 900 students in a growing community,TORONTO,Central,100 ALLANHURST DR,M9A 4K4,,"$26,355,588 ",,Yes,,,,43.68068812,-79.51912325,
Education,Education,TORONTO,Bishop Allen Academy Catholic Secondary School,Planning,26-Sep,Construction of new school,New facility to accommodate 1300 students in a growing community,TORONTO,Central,721 ROYAL YORK RD,M8Y 2T3,,"$36,013,876 ",,Yes,,,,43.634,-79.50543,
Education,Education,TORONTO,Lorreto Abbey Catholic Secondary School,Planning,25-Jan,Expansion of existing school,New classroom addition of 620 pupil places for a growing school,TORONTO,Central,101 MASON BLVD,M5M 3E2,,"$24,088,380 ",,Yes,,,,43.74088,-79.4111,
Education,Education,TORONTO,École élémentaire publique Paul-Demers,Planning,23-Sep,Construction of new school,"New facility to accommodate 412 students in a growing community, including the construction of 73 child care spaces",TORONTO,Central,44 APPIAN DR,M2J 2P9,,"$11,539,404 ",,Yes,,,,43.78584,-79.37088,
Education,Education,TORONTO,école élémentaire catholique Sainte-Marguerite-d'Youville,Under construction,2022,Expansion of existing school,Addition and renovation to accommodate for Full Day Kindergarten,TORONTO,Central,755 ROYAL YORK RD,M8Y 2T3,,"$1,815,000 ",,Yes,,Yes,,43.63589,-79.50594,
Education,Education,TORONTO,Dennis Avenue Public Elementary School,Under construction,2022,Demolition,Full/Partial demolition of the existing facility,TORONTO,Central,17 DENNIS AVE,M6N 2T7,,"$1,867,708 ",,Yes,,,,43.68426,-79.48743,
Education,Education,TORONTO,Toronto Public Elementary School,Planning,23-Sep,Construction of new school,New facility to accommodate 455 students in a growing community,TORONTO,Central,YONGE ST / QUEENS QUAY W,TBD,,"$44,000,000 ",,Yes,,,,,,
Education,Education,TORONTO,York Memorial Public Secondary School,Planning,2022,Expansion of existing school,New classroom addition of 368 pupil places to accommodate students as a result of consolidation,TORONTO,Central,2690 EGLINTON AVE W,M6M 1T9,,"$11,045,702 ",,Yes,,,,43.69058949,-79.47615359,
Education,Education,TORONTO,école élémentaire catholique Saint-Michel,Planning,23-Sep,Expansion of existing school,New classroom addition of 92 pupil places for a growing school,TORONTO,Central,29 MEADOWVALE RD,M1C 1R7,,"$2,432,137 ",,Yes,,,,43.7780078,-79.15606408,
Education,Education,TORONTO,Holy Angels Catholic Elementary School,Under construction,2022,Demolition,Full/Partial demolition of the existing facility,TORONTO,Central,65 JUTLAND RD,M8Z 2G6,,"$992,200 ",,Yes,,,,43.6282483,-79.51771366,
Education,Education,TORONTO,Elizabeth Simcoe Jr. Public Elementary School,Planning,26-Sep,Expansion of existing school,New classroom addition of 46 pupil places to accommodate students as a result of consolidation,TORONTO,Central,166 SYLVAN AVE,M1E 1A3,,"$2,532,250 ",,Yes,,,,43.7385487,-79.2061959,
Education,Education,TORONTO,Poplar Road Jr. Public Elementary School,Planning,26-Sep,Construction of new school,"New facility to accommodate 341 students as a result of a consolidation, including the construction of 88 child care spaces",TORONTO,Central,TBD,M1E 1S4,,"$13,440,170 ",,Yes,,,,,,
Education,Education,TORONTO,St. Elizabeth Catholic Elementary School,Planning,27-Sep,Construction of new school,"New facility to accommodate 600 students in a growing community, including the construction of 88 child care spaces",TORONTO,Central,TBD,M9B 1J8,,"$19,366,938 ",,Yes,,,,,,
Education,Education,TORONTO,St. Monica Catholic Elementary School,Planning,27-Sep,Construction of new school,"New facility to accommodate 550 students in a growing community, including the construction of 88 child care spaces",TORONTO,Central,TBD,M4P 1T4,,"$18,635,030 ",,Yes,,,,,,
Communities,"Environment, Conservation and Parks",TORONTO,MECP/MLTSD Science Complex,Planning,To Be Determined,Construction of a new Science Complex to replace the existing facilities at 81A and 125 Resources Road.,New Science Complex,TORONTO,Central,Toronto,,,0,,,,,,,,
Health care,Health,TORONTO,Michael Garron Hospital - New Patient Care Tower,Under construction,23-Sep,New tower for inpatient and outpatient care,"Additional beds and increased program space, and infrastructure improvement.",TORONTO,Central,825 Coxwell Ave,M4C 3E7,,"$443,300,000 ",,Yes,,Yes,http://www.infrastructureontario.ca/Michael-Garron-Hospital-Phase-1/,43.689759,-79.325922,
Health care,Health,TORONTO,"Mount Sinai Hospital - Surgery, Critical Care and Emergency Room Renovation",Under construction,23-Aug,"The project is a large-scale renovation of key areas of the Mount Sinai Hospital, including Critical Care Unit; expansion and redesign of the Emergency Department, Operating Rooms and Surgical Services. ","Additional beds and increased program space, and infrastructure improvement.",TORONTO,Central,600 University Ave,M5G 1X5,,"$378,700,000 ",,Yes,,Yes,http://www.infrastructureontario.ca/Mount-Sinai-Hospital-Phase-3A-Redevelopment-Project/,43.657456,-79.390347,
Health care,Health,TORONTO,Unity Health Toronto - St. Michael's Hospital Patient Care Tower,Under construction,25-Oct,"Construction of a 17-storey tower and renovation of 150,000 square feet of existing space","Replacing undersized, outdated patient rooms; adding 5 state-of-the-art operating rooms and space for ambulatory and ophthalmology clinics",TORONTO,Central,30 Bond St,M5B 1W8,,"$353,400,000 ",,Yes,,Yes,http://www.infrastructureontario.ca/St-Michaels-Hospital/,43.65367,-79.377729,
Health care,Health,TORONTO,West Park Healthcare Centre - DBFM Brownfield Capital Redevelopment Project,Under construction,23-Mar,Construction of a new multi-storey building to replace old building,"Increased capacity for inpatient, ambulatory care, outreach, diagnostic and therapeutic services with a capacity of up to 314 beds (up to a 54-bed increase) upon opening.",TORONTO,Central,82 Buttonwood Ave,M6M 2J5,,"$980,203,500 ",,Yes,,Yes,http://www.infrastructureontario.ca/West-Park-Healthcare-Centre/,43.690044,-79.508181,
Health care,Health,TORONTO,Scarborough Health Network - Diagnostic Imaging Project,Planning,24-Jan,This project involves renovations at the Scarborough Health Network’s General Campus to expand and consolidate diagnostic imaging services and construction of a modernized Operating Room.,Improved and expanded access to modernized diagnostic imaging services and surgical services.,TORONTO,Central,3050 Lawrence Ave E,M1P 2V5,,0,,Yes,,Yes,,43.756193,-79.246939,
Health care,Health,TORONTO,Scarborough Health Network - Chronic Kidney Disease Facility ,Planning,24-Dec,"Construction of a facility to accommodate community based chronic kidney disease programs, including dialysis as part of the Bridletowne Neighbourhood Centre","Increased access in a modern facility for patients requiring chronic kidney disease programs, including dialysis.",TORONTO,Central,Northerly portion of 1251 Bridletowne Cir,M1W 0A5,,0,,Yes,,Yes,,43.794889,-79.310276,
Health care,Health,TORONTO,Scarborough Health Network - Centenary Site Emergency -Department Redevelopment ,Planning,24-Mar,New construction and renovations to expand the emergency department,Improved Emergency Department service capacity and quality,TORONTO,Central,2867 Ellesmere Rd,M1E 4B9,,0,,Yes,,Yes,,43.780398,-79.204549,
Health care,Health,TORONTO,Princess Margaret Hospital - Stem Cell Transplant Phase 2 Expansion,Planning,25-Jun,"Expansion of inpatient capacity by creating additional allogeneic  beds with HEPA filtration and positive pressurization; creation of a malignant hematology day hospital,  and expansion of ambulatory clinic space.",Increased capacity and  quality of existing services and reduction of out of country referrals,TORONTO,Central,610 University Ave,M5G 2M9,,0,,Yes,,Yes,,43.658117,-79.390725,
Health care,Health,TORONTO,Centre For Addiction and Mental Health (CAMH) - Phase 1D Redevelopment,Planning,26-Jun,Construction of a new building to accommodate expanded inpatient capacity and ambulatory services for the forensic mental health program. ,Improved access to mental health and addiction services.,TORONTO,Central,1000 Queen St. West,M6J 1H4,,0,,Yes,,Yes,,43.64385513,-79.41759389,
Health care,Health,TORONTO,North York General Hospital - Inpatient Redevelopment ,Planning,30-Dec,"The project involves the construction of a new inpatient care tower to include new and expanded operating rooms, a new emergency department and increased inpatient bed capacity.  Renovations will also be undertaken in the existing building to expand support services, including medical device processing, laboratory and pharmacy. ","Increased access to expanded inpatient capacity and acute care services, as well as upgraded and modernized facilities to address growth and demand for services.",TORONTO,Central,"4001 Leslie Street, ",M2K 1E1,,0,,Yes,,Yes,,43.76973258,-79.36323399,
Health care,Health,TORONTO,Scarborough Health Network - Birchmount (Phase 1a) Redevelopment,Planning,25-Dec,Redevelopment and expansion of Scarborough Health Network's Birchmount site.,Service expansion and Improved access to upgraded and modernized facilities.,TORONTO,Central,"3050 Lawrence Avenue East, ",M1E 4B9,,0,,Yes,,Yes,,43.75637111,-79.24697079,
Health care,Health,TORONTO,Sunnybrook Health Sciences Centre - Brain Sciences Centre,Under construction,23-Aug,"The Brain Sciences Centre project includes the construction of a new, 3-storey building adjacent to the existing F-wing on the Bayview campus and renovations in the existing building.  ","Additional beds and increased program space, and infrastructure improvement.",TORONTO,Central,2075 Bayview Ave,M4N 3M5,,"$60,000,000 ",,Yes,,Yes,,43.72302401,-79.37291782,
Health care,Health,TORONTO,The Hospital for Sick Children - Project Horizon,Planning,Mar-33,"Construction of a new patient care tower and renovations to the atrium wing. The new and renovated areas will house critical care, surgery, bone marrow transplant, diagnostic imaging, specialty outpatient clinics, emergency, and surgical departments.","Better integration of emerging technology and innovations into improved models of patient care, and creation of additional capacity to meet projected growth forecasts.",TORONTO,Central,555 University Avenue,M5G 1X8,,0,,Yes,,Yes,,43.65737,-79.387432,
Health care,Health,TORONTO,Unity Health (St. Joseph's Health Centre Toronto) - Major Capital Redevelopment Project,Planning,Mar-33,"This major project will renovate existing space, and add new space",The project addresses aging infrastructure and adds new space to allow for progrm an service expansion. ,TORONTO,Central,30 The Queensway,M6R 1B5,,0,,Yes,,Yes,,43.63977084,-79.45063273,
Health care,Health,TORONTO,North York General Hospital - Branson Site Reactivation Care Centre ,Under construction,2022,The project involves renovations to the East Wing of the  Branson site to create a reactivation care centre to support Alternate Levels of Care patients.,"This project provides increased bed capacity for Alternative Level of Care patients, freeing up capacity for acute care patients.",TORONTO,Central,4001 Leslie St,M2K 1E1,,"$40,000,000 ",,Yes,,Yes,,43.76973258,-79.36323399,
Communities,Infrastructure,TORONTO,MacDonald Block Reconstruction,Under construction,24-Mar,"Complete reconstruction of the 4 tower, 1,800,000 sq.ft.- office building over 8 years","An efficient, accessible and environmentally responsible workplace. Replaced building systems will reduce operating costs and improve energy performance.",TORONTO,Central,900 Bay St.,M7A 2E1,,"$1,536,000,000 ",,Yes,,,http://www.infrastructureontario.ca/Macdonald-Block-Reconstruction-Project/,43.663431,-79.387675,
Communities,Infrastructure,TORONTO,Cherry Street Stormwater and Lake Filling Project,Under construction,2020,Refill the lake to facilitate the construction of a new bridge that provides clear span conditions that accommodate anticipated flood levels.,,TORONTO,Central,,,,"$48,750,000 ",Yes,Yes,Yes,,,43.646396,-79.354698,
Communities,Infrastructure,TORONTO,Two Recreation and Cultural Facilities in North York,Planning,2022,"With this funding, an accessible changeroom for users of the fitness centre will be created and an existing bathroom will be renovated to meet the requirements of the Accessibility for Ontarians with Disabilities Act. This project will help improve access to modern recreational infrastructure and better meet the needs of the community.",,TORONTO,Central,21 Hendon Avenue,M2M4G8,,"$166,313 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000497/canada-and-ontario-invest-over-38-million-to-support-two-recreation-and-cultural-facilities-in-north-york,43.781243,-79.417504,
Communities,Infrastructure,TORONTO,Two Recreation and Cultural Facilities in North York,Planning,23-Mar,"The project involves a number of accessibility improvements to the theatre seating areas and workspaces at the Meridian Arts Centre to better meet community needs. In the centre’s Lyric Theatre, the George Weston Recital Hall and the Greenwin Theatre, accessible seating will be added and expanded. Other improvements include the conversion of a control room to a barrier-free workspace, the addition of a lift to allow access to the stage from the orchestra level, and the installation of an elevator for better access to seating areas and to the control room for employees. Once complete, all patrons of the arts, including those living with disabilities will be able to participate in all cultural experiences that the Meridian Arts Centre has to offer.",,TORONTO,Central,City Hall  100 Queen Street/Rue West/Ouest,M5H2N2,,"$5,100,000 ",Yes,Yes,Yes,,https://www.news.ontario.ca/en/release/1000497/canada-and-ontario-invest-over-38-million-to-support-two-recreation-and-cultural-facilities-in-north-york,43.7663,-79.4141,
Communities,Infrastructure,TORONTO,Tamil Community Centre in Scarborough,Planning,26-Mar,"The project will see the construction of a multi-purpose facility that will meet the needs of many local residents, including the diverse Tamil Community in the Greater Toronto Area. A gym and outdoor playing fields will improve access to recreational opportunities for the community, while a new library, museum, auditorium and multi-purpose spaces will help facilitate educational and cultural opportunities and events.",,TORONTO,Central,Suite 908 - 305 Milner Avenue,M1B3V4,,"$35,999,534 ",,Yes,Yes,Yes,https://www.news.ontario.ca/en/release/1000535/canada-ontario-city-of-toronto-and-partners-invest-over-359-million-in-the-tamil-community-centre-in-scarborough,43.827955,-79.221437,
Communities,Infrastructure,TORONTO,Revitalization of Spadina Museum,Planning,25-Feb,"The project involves improving accessibility along the pathways leading from the street to museum entrances, meeting the Accessibility for Ontarians with Disabilities Act requirements. Other work on the exterior of the building will include weatherproofing and restoration of existing windows and doors. Work will also include improvements to the interior of the museum’s garage, which include converting an existing office, kitchen, and car bay space into additional programming and rental space. New flooring, lighting, and a kitchenette will also be installed, while the second floor will be remodeled to accommodate increased programming. This includes renovating the existing staircase, washrooms, and kitchen facilities. Once complete, all patrons of the Spadina Museum, including those living with disabilities, will benefit from improved accessibility and better rental and programming space.",,TORONTO,Central,City Hall  100 Queen Street/Rue West/Ouest,M5H2N2,,"$2,970,000 ",Yes,Yes,Yes,,,43.677949,-79.41065,
